weight_ev,weight_icev,pen_rate,EF 100% weak avg,EF 50% strong avg,EF 100% strong avg
1680,1580,0.05,1.3443703027012002,1.3146595307413207,1.2849487587814412
1680,1580,0.1,1.3383324286738856,1.2789108847541266,1.2194893408343674
1680,1580,0.15,1.3322945546465705,1.243162238766932,1.1540299228872937
1680,1580,0.2,1.326256680619256,1.2074135927797378,1.0885705049402197
1680,1580,0.25,1.3202188065919411,1.1716649467925435,1.023111086993146
1680,1580,0.3,1.314180932564626,1.135916300805349,0.9576516690460719
1680,1580,0.35,1.3081430585373115,1.100167654818155,0.8921922510989982
1680,1580,0.4,1.3021051845099967,1.0644190088309604,0.8267328331519244
1680,1580,0.45,1.2960673104826819,1.0286703628437661,0.7612734152048506
1680,1580,0.5,1.290029436455367,0.9929217168565718,0.6958139972577767
1680,1600,0.05,1.3567998711695466,1.3270890992096671,1.2973783272497874
1680,1600,0.1,1.3501078093281085,1.2906862654083495,1.2312647214885906
1680,1600,0.15,1.3434157474866701,1.2542834316070315,1.165151115727393
1680,1600,0.2,1.3367236856452318,1.217880597805714,1.0990375099661958
1680,1600,0.25,1.3300316238037935,1.1814777640043959,1.0329239042049985
1680,1600,0.3,1.3233395619623551,1.145074930203078,0.966810298443801
1680,1600,0.35,1.3166475001209168,1.1086720964017602,0.9006966926826037
1680,1600,0.4,1.3099554382794785,1.0722692626004424,0.8345830869214064
1680,1600,0.45,1.3032633764380404,1.0358664287991246,0.7684694811602091
1680,1600,0.5,1.296571314596602,0.9994635949978068,0.7023558753990117
1700,1400,0.05,1.23186763206588,1.2018848975561593,1.1719021630464388
1700,1400,0.1,1.2323433625209927,1.1723778935015519,1.1124124244821108
1700,1400,0.15,1.2328190929761056,1.142870889446944,1.0529226859177825
1700,1400,0.2,1.2332948234312187,1.1133638853923364,0.9934329473534542
1700,1400,0.25,1.2337705538863317,1.083856881337729,0.9339432087891262
1700,1400,0.3,1.2342462843414446,1.0543498772831212,0.874453470224798
1700,1400,0.35,1.2347220147965574,1.0248428732285138,0.8149637316604701
1700,1400,0.4,1.2351977452516705,0.9953358691739062,0.7554739930961418
1700,1400,0.45,1.2356734757067835,0.9658288651192987,0.6959842545318138
1700,1400,0.5,1.2361492061618964,0.9363218610646911,0.6364945159674856
1700,1420,0.05,1.244543529012914,1.2145607945031935,1.184578059993473
1700,1420,0.1,1.2443521069971304,1.1843866379776893,1.1244211689582482
1700,1420,0.15,1.2441606849813467,1.154212481452185,1.0642642779230234
1700,1420,0.2,1.2439692629655632,1.124038324926681,1.0041073868877988
1700,1420,0.25,1.2437778409497797,1.093864168401177,0.9439504958525742
1700,1420,0.3,1.243586418933996,1.0636900118756727,0.8837936048173495
1700,1420,0.35,1.2433949969182123,1.0335158553501687,0.823636713782125
1700,1420,0.4,1.243203574902429,1.0033416988246646,0.7634798227469003
1700,1420,0.45,1.2430121528866453,0.9731675422991605,0.7033229317116756
1700,1420,0.5,1.2428207308708616,0.9429933857736563,0.643166040676451
1700,1440,0.05,1.257189817697558,1.2272070831878374,1.197224348678117
1700,1440,0.1,1.256332801540477,1.196367332521036,1.136401863501595
1700,1440,0.15,1.2554757853833967,1.165527581854235,1.0755793783250733
1700,1440,0.2,1.254618769226316,1.134687831187434,1.0147568931485518
1700,1440,0.25,1.2537617530692353,1.1038480805206325,0.95393440797203
1700,1440,0.3,1.2529047369121549,1.0730083298538315,0.8931119227955082
1700,1440,0.35,1.252047720755074,1.0421685791870303,0.8322894376189867
1700,1440,0.4,1.2511907045979935,1.011328828520229,0.7714669524424649
1700,1440,0.45,1.250333688440913,0.9804890778534281,0.7106444672659432
1700,1440,0.5,1.2494766722838322,0.9496493271866269,0.6498219820894215
1700,1460,0.05,1.2698071021867396,1.239824367677019,1.2098416331672985
1700,1460,0.1,1.2682860184249654,1.2083205494055242,1.1483550803860831
1700,1460,0.15,1.2667649346631908,1.1768167311340294,1.0868685276048677
1700,1460,0.2,1.2652438509014166,1.1453129128625343,1.0253819748236521
1700,1460,0.25,1.263722767139642,1.1138090945910393,0.9638954220424367
1700,1460,0.3,1.2622016833778675,1.0823052763195444,0.9024088692612211
1700,1460,0.35,1.2606805996160932,1.0508014580480496,0.8409223164800057
